# 區域攻略提示(來源:《軟體世界》1991 第 25/26/27 期火龍之戰連載攻略;
#   見 docs/walkthrough/38_SOFTWORLD_WALKTHROUGH.md)。格式:area<TAB>提示(單行,引擎自動換行)。
# 開區域地圖(?)時於下方顯示。remake 加值;誠實標示來源。
1	波卡城:有進無出、重兵把守。城北巫師 Humbaba(胡姆巴巴)必須打敗。西南角祕門可出城,或從 Apsu Waters(亞蘇水)進瑪根地底世界。在 Irkalla(伊爾卡拉)女神雕像前,記得把能拿的都拿盡。
2	奴隸營/礦場:賣身會被鋼鏈加身。先做能驅退鋼鏈的工具(龍石/錘子)恢復自由,再從暗門帶走寶藏;礦場第 10 處打敗警衛與頭頭。
5	塔斯廢墟:本是繁榮城市,遭納達瘟疫後淪為廢墟。仔細找入城密道通往地下世界;走路地板作響處,旁邊可能藏有珍寶。
6	菲巴斯:曾為貿易大都市,被太陽神美斯達(Mystalvision)掌控,城中據點與怪物林立。西側住著一群小妖精(goblin)。
8	黃泥蟾蜍城:泥濘厚牆之城。有一雙黃金之靴(Golden Boots)可渡泥水;用造牆(Create Wall)到城中心。酒店藏護身符(Ankh)。城中心半毀雕像是法師拉娜(Lanac'toor),被納達變石後敲碎——四塊碎片散布大陸,重組推進主線。
9	拜占儂:被納達軍隊圍困、交戰中。城牆射下羽箭與熱油(休息可恢復)。用力量(Strength)或撬棍開石塊,下到地下指揮部見喬丹王子(Prince Jordan)。
10	走私灣:黃泥蟾蜍城海邊。取寶箱需高開鎖(Lockpick)或扒竊(Pick Pocket)。翠玉之眼(Jade Eye)要留好——矮人城堡會用到。
16	矮人城堡:把翠玉之眼裝到牆壁雕像上,城堡通道才會打開。救出矮人後,矮人鐵匠願幫你鑄劍——把骷髏(Skull)交給鐵匠,這是製自由之劍的關鍵。遇石牆可用軟化石(Soften Stone)法術。
17	自由港:進入瑪根的唯一城市,昔日英雄羅拔(Roba)所建。島四周海水受魔法沸騰,須有傳送之劍方能入島。
18	瑪根地底世界:龐大、怪物強。主軸是取得自由之劍。關鍵:納達之坑、靈魂之泉、救贖之山、地獄之火(Inferno)法術、攀爬(Climb)技能、矮人鑄爐(Dwarf Forge)。
22	沉沒遺跡:位於水下,需水中呼吸藥水。在此取英雄魂(角色祝福)。
23	神祕林:德魯伊系法師大本營,陷阱與怪物多,進入前練高德魯伊魔法。與恩奇杜(Enkidu)半人半獸及力量/精神檢定相關。藏有一隻黃金之靴(須湊成一雙)。
25	京雄城:荒廢王城,不准陌生人進入。地牢守衛不嚴、可分批打散,寶物不少。在此取得朝聖者之袍(Pilgrim's Garb)——前往尼塞山時要穿。
27	尼塞山腹:終戰之地。以受祝福的自由之劍 + 召喚龍后,在深處劈死納達(Namtar)。勝利後將屍體送靈魂之泉,再投入納達之坑。
31	魔法學院:須通過七道測驗,才能找到光譜眼鏡(Spectacles)。由法師烏納皮什提姆(Utnapishtim)主持。
32	龍谷:進入者須有極強戰力。目標是取得龍寶石(Dragon Gem)——決戰納達時可召喚龍后(Dragon Queen)助戰。
33	菲巴斯地下城:挑戰美斯達者被囚於此。有德魯伊神殿藏寶。東北邊養著一條飢餓的龍——激怒牠可毀去整個地牢與地面的菲巴斯城(但城中尚有無辜民眾,動手前三思)。
34	拉娜的實驗室:用造牆(Create Wall)可封地底入口或開通道。可在此拿到拉娜碎片;集齊四塊重組拉娜,是推進主線的關鍵。
36	京雄城:荒廢王城,垃圾守衛把守。地牢守衛不嚴、寶物不少。在此取得朝聖者之袍,前往尼塞山時要穿。
37	奴隸莊園:莫格(Mog)是已死的奴隸販子。地下迷宮的山妖怪(goblin)難纏——拿了東西就走。
38	蘭斯克地下城:四角各一座雕像對應一種屬性檢定,依提示通過後開門。生病/中毒時留好蘑菇有回報。東南角傳送通往瑪根地底世界。
39	塔斯廢墟:本是繁榮城市,遭納達瘟疫後淪為廢墟。仔細找入城密道通往地下世界。
