# section 0 內嵌字串(offset<TAB>english);由 op_77/78/7B 解出
2	Interplay
21	Do you wish to..\r\rBegin a new game\rContinue an old game
33	"egin a new game\rContinue an old game
75	Starting a new game will destroy your last saved game. Do you still wish to start a new game?\r\r
136	uaechc
153	Current party...\r\r
189	\rCreate character\r
213	\rBegin the game
266	Do you wish to..\r\rDelete 
278	,elete 
286	\rRename 
324	What will 
334	's new name be?\r\r
345	uaeve.g iga
389	You are about to delete 
400	hht u"pg
408	. What has 
419	 done to deserve such a fate??\r\rDelete 
449	 forever.\rHave mercy.
478	Bye bye, 
549	Name your new character.\r\r
647	You still have 
660	 points left to distribute, do you wish to go back and distribute them?\r\r
706	uaecktpak
747	You must have someone in the party to begin the game!!
758	ht,rpitpl'hpl
787	Loading...
