# ja — 日本語(示範:少數條目;其餘 tr() 回退英文原文)。
# 字型:wqy-zenhei.ttc 含 kana + kanji,可直接渲染。
# english	japanese
Dragon Wars	ドラゴンウォーズ
Do you wish to..	どうしますか..
Begin a new game	新しいゲーム
Continue an old game	続きから
Create character	キャラクター作成
Begin the game	ゲーム開始
Current party...	現在のパーティ...
[ continue ]	[ 続けるにはキーを押す ]
Game saved.	ゲームを保存しました。
Save failed.	保存に失敗しました。
No saved game.	保存データがありません。
Paragraph	パラグラフ
Up/Down scroll  Space page  Esc close	上下:スクロール  スペース:ページ  Esc:閉じる
Map  -  Esc: back	地図  -  Esc:戻る
unconscious	気絶
Press any key	キーを押してください
Controls	操作説明
Esc: close	Esc:閉じる
Game autosaved.	ゲームを自動保存しました。
Quit the game? (Y/N)	ゲームを終了しますか?(Y/N)
Theme	テーマ
256 colours	256色
Move forward / turn left / turn right	前進 / 左回転 / 右回転
Open / force door	扉を開く / こじ開ける
Character sheet	キャラクターシート
Cast spell (explore)	呪文を唱える(探索)
Shop / Tavern	店 / 酒場
Overhead map	俯瞰マップ
Save game	セーブ
This help	このヘルプ
Cycle language	言語切替
Cycle UI theme	UIテーマ切替
Quit (autosave + confirm)	終了(自動保存+確認)
Main quest guide	メインクエスト案内
