# 角色屬性表標籤(示範:日本語)。其餘 tr() 回退英文原文。
# english	japanese
Character	キャラクター
Strength	筋力
Dexterity	敏捷
Intel	知力
Spirit	精神
Health	生命力
Stun	気絶
Power	魔力
Level	レベル
Gold	所持金
Status	状態
Gender	性別
Male	男
Female	女
dead	死亡
chained	拘束
poisoned	毒
stunned	気絶
normal	正常
# ── 建角流程(新遊戲 / 建立人物)──
Create Character	キャラクター作成
Enter name:	名前を入力:
Points left	残りポイント
Up/Down select  +/- adjust  G gender  Enter done	上下:選択  +/-:調整  G:性別  Enter:決定
Enter: confirm  Esc: cancel	Enter:確認  Esc:キャンセル
Party	パーティ
Begin the game	ゲーム開始
Add another (max 4)	仲間を追加(最大4人)
B: begin  N: add member  Esc: back	B:開始  N:追加  Esc:戻る
HP	生命
PWR	魔力
AV	攻撃
DV	防御
member(s)	人
add  - subtract	加算 - 減算
