# english	chinese — 源自 docs/15_TRANSLATION_DRAFT.md / CONTEXT.md
Dragon Wars	火龍之戰
Do you wish to..	您希望..
Begin a new game	開始新遊戲
Continue an old game	繼續舊遊戲
Create character	建立角色
Begin the game	開始遊戲
Current party...	目前隊伍...
[ continue ]	[ 按鍵繼續 ]
Game saved.	遊戲已儲存。
Save failed.	存檔失敗。
No saved game.	沒有可繼續的存檔。
Paragraph	段落
Up/Down scroll  Space page  Esc close	上下:捲動  空白:翻頁  Esc:關閉
Map  -  Esc: back	地圖  -  Esc:返回
The door opens.	門打開了。
You pick the lock.	你撬開了鎖。
The door is locked.	這扇門鎖住了。
You smash a secret door!	你粉碎了一道密門!
A solid stone wall blocks the way.	堅固的石牆擋住去路。
The door is already open.	門已經開著。
There is nothing to open ahead.	前方沒有可開的門。
A trap springs!	陷阱觸發了!
Cast which spell?	要施放哪個法術?
No spells available.	沒有可施放的法術。
You sense the traps nearby.	你感知到附近的陷阱。
The trap is disarmed.	陷阱已解除。
The stone softens and crumbles.	石牆軟化崩解。
A wall of stone rises.	一道石牆升起。
Light fills the area.	光芒照亮了四周。
Nothing happens.	沒有任何效果。
Not enough power.	法力不足。
unconscious	昏倒
Press any key	按任意鍵繼續
Controls	操作說明
Esc: close	Esc:關閉
Game autosaved.	遊戲已自動存檔。
Quit the game? (Y/N)	確定離開遊戲?(Y/N)
Theme	主題
Move forward / turn left / turn right	前進 / 左轉 / 右轉
Open / force door	開門 / 破門
Character sheet	角色屬性表
Cast spell (explore)	施法(探索)
Shop / Tavern	商店 / 酒館
Overhead map	俯視地圖
Save game	存檔
This help	本說明
Cycle language	切換語言
Cycle UI theme	切換介面主題
Quit (autosave + confirm)	離開(自動存檔 + 確認)
